"model","method","sites","weight","minCR","site.select.cr","age.transform","MAE","lci","uci","Corr","mean.resid","MAE_0","MAE_10","MAE_25","mean.resid_0","mean.resid_10","mean.resid_25"
52,"rf","RFsites","CR","minCR2","cr3","none",3.48,1.46,6.66,0.78,-0.21,1.56,2.9,6.76,3.57,0.93,-7.85
52,"svm","RFsites","CR","minCR2","cr3","none",3.9,1.31,5.35,0.84,0.09,4.18,3.08,4.72,4.07,0.15,-5.48
53,"gam","RFsites","CR","minCR3","cr3","none",4.8,2.18,8.1,0.62,0.44,5,2.6,9.61,4.6,1.46,-7.45
53,"glmnet","RFsites","CR","minCR3","cr3","none",3.73,2.12,6.92,0.78,-0.39,3.01,3.34,7.49,2.15,1.75,-8.51
53,"rf","RFsites","CR","minCR3","cr3","none",3.38,1.4,6.18,0.78,-0.03,1.64,3.21,5.81,3.59,1.06,-7.37
53,"svm","RFsites","CR","minCR3","cr3","none",3.63,1.9,5.45,0.84,0.36,3.76,2.73,4.44,4.22,0.43,-5.06
54,"gam","RFsites","CR","minCR4","cr3","none",5.03,2.81,10.94,0.6,-0.35,5.5,3.24,11.99,3.85,1.41,-9.91
54,"glmnet","RFsites","CR","minCR4","cr3","none",4.43,1.81,7.79,0.74,0.07,3.43,3.19,8.59,3.55,2.04,-8.98
54,"rf","RFsites","CR","minCR4","cr3","none",3.88,1.86,6.21,0.75,0.07,2.13,3.41,6.23,4.33,1.3,-8.42
54,"svm","RFsites","CR","minCR4","cr3","none",3.25,1.5,5.39,0.84,0.08,2.82,2.7,5.34,2.93,1.42,-6.75
55,"gam","RFsites","none","minCR2","cr4","none",4.29,2.35,7.71,0.7,-0.72,3.98,3.43,9.87,1.91,1.04,-8.14
55,"glmnet","RFsites","none","minCR2","cr4","none",3.87,1.93,6.88,0.77,-1.07,2.12,3.15,8.23,2,1,-9.8
55,"rf","RFsites","none","minCR2","cr4","none",3.79,1.31,6.63,0.77,-0.36,1.63,3.14,7.64,3.64,0.75,-8.26
55,"svm","RFsites","none","minCR2","cr4","none",3.4,1.59,5.57,0.83,-0.33,2.48,3.7,5.23,2.57,0.42,-5.93
56,"gam","RFsites","none","minCR3","cr4","none",4.96,2.64,8.73,0.67,0.39,5,3.88,8.76,3.16,2.05,-7.02
56,"glmnet","RFsites","none","minCR3","cr4","none",4.03,2.06,6.5,0.74,-0.09,3.77,3.31,7.36,2.24,2.02,-7.88
56,"rf","RFsites","none","minCR3","cr4","none",3.48,1.6,6,0.77,-0.06,1.76,3.45,5.88,3.64,1.02,-7.46
56,"svm","RFsites","none","minCR3","cr4","none",3.1,1.68,5.46,0.82,-0.54,2.27,2.61,5.47,2.23,0.78,-7.22
57,"gam","RFsites","none","minCR4","cr4","none",5.2,2.16,8.83,0.62,1.4,4,4.58,6.75,3.39,3.35,-5.57
57,"glmnet","RFsites","none","minCR4","cr4","none",4.73,1.9,7.87,0.7,0.3,4,2.91,8.57,3.18,2.78,-9.04
57,"rf","RFsites","none","minCR4","cr4","none",4.19,1.85,6.99,0.74,0.16,2.54,3.61,7.18,4.56,1.42,-8.58
57,"svm","RFsites","none","minCR4","cr4","none",3.09,1.73,5,0.84,-0.45,3.01,2.53,6.6,1.44,1.44,-7.16
58,"gam","RFsites","ci.wt","minCR2","cr4","none",4.05,1.4,7.37,0.7,-0.44,4.1,3.06,7.55,2.85,1.24,-8.59
58,"glmnet","RFsites","ci.wt","minCR2","cr4","none",3.51,1.96,5.73,0.77,-1.16,2.76,2.85,7.92,1.84,0.76,-9.44
58,"rf","RFsites","ci.wt","minCR2","cr4","none",3.92,1.25,6.67,0.75,-0.34,2.04,3.23,6.83,3.65,0.89,-8.44
58,"svm","RFsites","ci.wt","minCR2","cr4","none",3.56,1.22,5.94,0.8,-1.76,1.36,2.94,9.36,2.15,-0.57,-9.67
59,"gam","RFsites","ci.wt","minCR3","cr4","none",4.67,2.27,7.3,0.72,-0.25,4,3.28,7.94,2.97,1.23,-7.87
59,"glmnet","RFsites","ci.wt","minCR3","cr4","none",3.67,1.56,6.07,0.78,-0.61,3.7,2.48,7.62,2.04,1.16,-8.07
59,"rf","RFsites","ci.wt","minCR3","cr4","none",3.49,1.35,6.23,0.76,-0.11,1.64,3.22,6.1,3.62,0.97,-7.57
59,"svm","RFsites","ci.wt","minCR3","cr4","none",3.4,1.49,5.92,0.81,-0.93,1.95,2.15,7.13,1.93,0.67,-8.33
60,"gam","RFsites","ci.wt","minCR4","cr4","none",4.25,2.53,8.84,0.68,0.64,5,3.51,6.87,3.4,2.41,-6.98
60,"glmnet","RFsites","ci.wt","minCR4","cr4","none",3.71,2.16,7.55,0.74,0.03,3.65,2.95,9.03,2.91,2.15,-8.53
60,"rf","RFsites","ci.wt","minCR4","cr4","none",3.83,2.07,6.63,0.73,0.05,2.52,3.38,6.68,4.34,1.4,-8.73
60,"svm","RFsites","ci.wt","minCR4","cr4","none",3.16,1.35,5.54,0.82,-0.11,2.13,2.5,6.2,2.71,1.44,-7.34
61,"gam","RFsites","CR","minCR2","cr4","none",3.52,2.54,6.54,0.79,-0.36,3.44,3.06,6.98,1.44,0.43,-4.56
61,"glmnet","RFsites","CR","minCR2","cr4","none",3.51,2.03,6.07,0.78,-0.96,3.14,2.84,7.58,2.02,0.95,-9.2
61,"rf","RFsites","CR","minCR2","cr4","none",3.22,1.45,6.41,0.76,-0.34,1.61,2.7,5.99,3.65,0.78,-8.22
61,"svm","RFsites","CR","minCR2","cr4","none",3.66,1.4,5.64,0.81,-1.25,1.7,3.25,7.46,2.25,0.03,-8.81
62,"gam","RFsites","CR","minCR3","cr4","none",5.04,2.85,10.2,0.7,0.15,5.45,3.5,8.46,2.48,0.92,-4.71
62,"glmnet","RFsites","CR","minCR3","cr4","none",4.19,1.71,6.03,0.78,-0.68,3.54,3.58,6.94,1.76,1.23,-8.16
62,"rf","RFsites","CR","minCR3","cr4","none",3.07,1.49,5.66,0.77,-0.1,1.49,2.88,5.62,3.63,0.96,-7.49
62,"svm","RFsites","CR","minCR3","cr4","none",2.87,1.5,5.87,0.82,-0.4,2.05,2.71,5.88,2.18,1.05,-7.1
63,"gam","RFsites","CR","minCR4","cr4","none",6.46,4.02,13.65,0.52,2.54,5.69,5.4,8.35,7.11,1.83,-2.16
63,"glmnet","RFsites","CR","minCR4","cr4","none",4.42,2.07,6.03,0.79,-0.24,4.34,3.71,6.22,2.53,1.52,-7.85
63,"rf","RFsites","CR","minCR4","cr4","none",3.95,1.88,6.28,0.75,-0.08,2.17,3.31,6.53,4.2,1.16,-8.61
63,"svm","RFsites","CR","minCR4","cr4","none",3.38,1.27,5.77,0.81,-0.12,1.99,3.15,6.5,2.56,1.47,-7.25
64,"gam","glmnet","none","minCR2","cr2","ln",2.91,1.48,5.96,0.82,-2.05,1.67,3.36,9.63,1.16,-0.83,-9.06
64,"glmnet","glmnet","none","minCR2","cr2","ln",2.79,0.88,6.36,0.79,-2.11,1.17,2.94,9.66,1.46,-0.94,-9.52
64,"rf","glmnet","none","minCR2","cr2","ln",3.13,1.45,6.15,0.8,-1.59,1.38,2.77,9.47,2.41,-0.48,-9.47
65,"gam","glmnet","none","minCR3","cr2","ln",2.72,1.79,6.11,0.74,-1.48,1.96,2.8,9.08,1.49,0.01,-8.81
65,"glmnet","glmnet","none","minCR3","cr2","ln",2.76,1.45,5.89,0.79,-1.4,1.53,3.42,9.25,1.49,-0.34,-7.67
65,"rf","glmnet","none","minCR3","cr2","ln",3.38,1.35,6.24,0.81,-1.17,1.29,3.2,7.33,2.41,-0.25,-8.08
66,"gam","glmnet","none","minCR4","cr2","ln",2.89,0.86,5.21,0.8,-0.47,1.34,2.12,7.15,2.33,0.64,-6.72
66,"glmnet","glmnet","none","minCR4","cr2","ln",3.08,0.96,6,0.78,-0.33,1.07,3.14,10.74,1.84,0.67,-5.46
66,"rf","glmnet","none","minCR4","cr2","ln",3.88,1.8,5.87,0.79,-1.37,1.91,3.69,11.4,2.91,0.07,-10.33
67,"gam","glmnet","ci.wt","minCR2","cr2","ln",2.8,0.92,5.32,0.84,-2.04,2.08,1.16,10.39,1.36,-0.68,-9.65
67,"glmnet","glmnet","ci.wt","minCR2","cr2","ln",2.52,1.09,6.8,0.83,-1.92,1.1,2.52,8.74,1.39,-0.77,-8.94
67,"rf","glmnet","ci.wt","minCR2","cr2","ln",3.62,1.32,6.6,0.79,-1.52,1.7,3.15,9.38,2.37,-0.09,-9.95
68,"gam","glmnet","ci.wt","minCR3","cr2","ln",2.19,1.18,5.1,0.87,-1.48,1.91,1.82,6.82,1.38,-0.21,-8.17
68,"glmnet","glmnet","ci.wt","minCR3","cr2","ln",2.48,1.12,4.94,0.83,-1.4,1.61,2.71,8.03,1.5,-0.2,-7.99
68,"rf","glmnet","ci.wt","minCR3","cr2","ln",3.39,1.34,6.19,0.8,-1.24,1.66,3.25,7.86,2.34,0.1,-9.03
69,"gam","glmnet","ci.wt","minCR4","cr2","ln",2.62,1.43,5.08,0.84,0.24,1.52,2.39,8.81,1.68,0.77,-2.91
69,"glmnet","glmnet","ci.wt","minCR4","cr2","ln",2.27,1.01,6.13,0.81,-0.65,1.86,2.1,8.03,1.72,0.67,-6.74
69,"rf","glmnet","ci.wt","minCR4","cr2","ln",4.05,1.88,6.41,0.77,-1.47,1.99,4,9.37,2.91,0.09,-10.82
70,"gam","glmnet","CR","minCR2","cr2","ln",2.97,1.15,5.06,0.83,-1.85,1.56,2.43,9.57,1.48,-0.72,-8.83
70,"glmnet","glmnet","CR","minCR2","cr2","ln",2.57,1.06,7.64,0.84,-1.78,1.11,2.79,9.16,1.3,-0.69,-8.36
70,"rf","glmnet","CR","minCR2","cr2","ln",4.02,1.06,6.46,0.8,-1.45,1.59,3.42,8.57,2.4,-0.09,-9.65
70,"svm","glmnet","CR","minCR2","cr2","ln",3.17,0.68,5.19,0.83,-1.52,2.22,2.17,6.31,2,-0.97,-7.5
71,"gam","glmnet","CR","minCR3","cr2","ln",2.72,0.96,5.57,0.85,-1.3,1.42,2.39,6.67,1.49,-0.3,-7.3
71,"glmnet","glmnet","CR","minCR3","cr2","ln",2.2,1.13,5.84,0.83,-1.19,1.45,2.06,7.62,1.42,-0.15,-7.05
71,"rf","glmnet","CR","minCR3","cr2","ln",3.86,1.23,6.23,0.81,-1.23,1.55,3.86,8.09,2.36,0.01,-8.84
71,"svm","glmnet","CR","minCR3","cr2","ln",3.1,1.48,5.53,0.82,-1.02,3.08,2.49,5.25,2.19,-0.57,-6.36
72,"gam","glmnet","CR","minCR4","cr2","ln",2.04,1.15,5.76,0.82,-0.31,1.58,1.86,9.44,1.59,0.33,-4.3
72,"glmnet","glmnet","CR","minCR4","cr2","ln",2.54,0.87,5.61,0.8,-0.74,1.41,1.68,8.67,1.9,0.31,-6.65
72,"rf","glmnet","CR","minCR4","cr2","ln",4.15,1.91,5.88,0.78,-1.52,2.1,3.93,10.01,2.82,-0.03,-10.67
72,"svm","glmnet","CR","minCR4","cr2","ln",2.53,1.1,5.08,0.84,-0.4,1.68,2.48,5.02,2.05,0.58,-5.87
73,"gam","glmnet","none","minCR2","cr3","ln",2.76,1.45,6.21,0.83,-1.53,1.63,2.66,8.41,2.14,-1.27,-7.1
73,"glmnet","glmnet","none","minCR2","cr3","ln",3,1.45,7.77,0.79,-2.33,1.71,3,10.16,2.08,-1.08,-11.08
73,"rf","glmnet","none","minCR2","cr3","ln",3.28,1.44,6.89,0.79,-1.73,1.17,3.18,9.98,2.55,-0.63,-9.96
73,"svm","glmnet","none","minCR2","cr3","ln",2.83,1.48,5.02,0.83,-1.41,1.54,2.61,5.74,2.47,-1.46,-6.59
74,"gam","glmnet","none","minCR3","cr3","ln",3,1.18,6.54,0.83,-1.03,1.65,3.15,7.8,2.32,-0.42,-6.94
74,"glmnet","glmnet","none","minCR3","cr3","ln",2.36,1.26,6.34,0.84,-1.19,1.47,2.67,7.64,1.76,-0.59,-6.55
74,"rf","glmnet","none","minCR3","cr3","ln",3.37,1.13,7.09,0.8,-1.48,1.12,3.37,8.59,2.51,-0.5,-9.06
74,"svm","glmnet","none","minCR3","cr3","ln",2.71,1.32,5.26,0.83,-1.02,1.87,2.91,6.34,2.38,-0.95,-5.79
75,"gam","glmnet","none","minCR4","cr3","ln",2.18,0.75,5.93,0.79,0.84,1.18,1.73,5.96,2.61,-0.3,0.91
75,"glmnet","glmnet","none","minCR4","cr3","ln",3.95,1.56,6.55,0.81,-0.6,2.52,3.44,7.06,2.55,-0.1,-5.97
75,"rf","glmnet","none","minCR4","cr3","ln",4.32,1.54,7.04,0.76,-1.67,1.48,3.69,11.29,2.98,-0.26,-11.06
75,"svm","glmnet","none","minCR4","cr3","ln",3.27,1.67,5.64,0.81,-0.57,2.23,2.56,6.71,2.83,-0.64,-5.05
76,"gam","glmnet","ci.wt","minCR2","cr3","ln",3.24,1.5,6.91,0.8,-1.59,2,3.33,8.36,2.49,-1.28,-7.84
76,"glmnet","glmnet","ci.wt","minCR2","cr3","ln",3.1,1.11,6.33,0.82,-2.02,1.37,3.05,8.99,1.81,-1.04,-9.35
76,"rf","glmnet","ci.wt","minCR2","cr3","ln",3.24,1.95,6.68,0.77,-1.79,1.07,3.11,10.12,2.6,-0.63,-10.32
76,"svm","glmnet","ci.wt","minCR2","cr3","ln",3.22,1.68,4.91,0.85,-1.29,1.74,2.56,6.22,2.56,-1.16,-6.8
77,"gam","glmnet","ci.wt","minCR3","cr3","ln",3.92,1.43,7.4,0.77,-1.34,2.3,5.22,8.56,2.76,-1.11,-7.42
77,"glmnet","glmnet","ci.wt","minCR3","cr3","ln",2.65,1.23,5.84,0.85,-1.17,1.83,2.84,7.14,1.88,-0.7,-6.38
77,"rf","glmnet","ci.wt","minCR3","cr3","ln",3.19,1.01,6.79,0.77,-1.61,1.11,3.09,9.14,2.59,-0.46,-9.86
77,"svm","glmnet","ci.wt","minCR3","cr3","ln",2.88,0.99,5.13,0.84,-0.99,1.92,1.7,6.37,2.74,-0.86,-6.37
78,"gam","glmnet","ci.wt","minCR4","cr3","ln",3.17,1.33,7.58,0.71,1.74,2.67,3.44,3.39,3.34,-1.75,7.15
78,"glmnet","glmnet","ci.wt","minCR4","cr3","ln",3.38,1.18,6.76,0.83,0.04,2.24,2.84,6.08,2.49,-0.82,-1.39
78,"rf","glmnet","ci.wt","minCR4","cr3","ln",4.16,1.74,7.34,0.73,-1.77,1.91,3.91,11.82,3.21,-0.38,-11.61
78,"svm","glmnet","ci.wt","minCR4","cr3","ln",2.66,1.29,4.45,0.89,0.07,1.44,3.36,2.36,1.95,0.12,-2.62
79,"gam","glmnet","CR","minCR2","cr3","ln",2.83,0.98,5.82,0.84,-1.72,1.04,3.28,9.17,1.7,-1.17,-7.61
79,"glmnet","glmnet","CR","minCR2","cr3","ln",2.49,0.97,7.32,0.83,-1.92,1.38,2.66,8.5,1.59,-0.93,-8.85
79,"rf","glmnet","CR","minCR2","cr3","ln",3.75,1.47,6.51,0.8,-1.69,1.46,2.81,10.45,2.34,-0.36,-10.08
79,"svm","glmnet","CR","minCR2","cr3","ln",2.9,1.37,5.7,0.85,-1.61,1.57,2.18,6.08,2.29,-1.55,-7.05
80,"gam","glmnet","CR","minCR3","cr3","ln",2.93,1.32,6.21,0.81,-1.46,1.5,2.93,7.27,2,-0.8,-7.62
80,"glmnet","glmnet","CR","minCR3","cr3","ln",2.23,1.17,5.43,0.86,-1.02,1.41,2.54,5.19,1.48,-0.64,-5.24
80,"rf","glmnet","CR","minCR3","cr3","ln",3.16,1.32,6.6,0.8,-1.58,1.66,2.94,10.11,2.27,-0.25,-9.74
80,"svm","glmnet","CR","minCR3","cr3","ln",3.01,1.04,5.26,0.84,-1.02,1.84,2.71,4.5,2.04,-0.65,-5.97
81,"gam","glmnet","CR","minCR4","cr3","ln",2.8,1.14,7.17,0.77,-0.13,1.21,2.8,12.84,2.18,-0.63,-2.21
81,"glmnet","glmnet","CR","minCR4","cr3","ln",2.25,1.21,5.05,0.85,-0.41,1.97,2.36,4.91,1.84,-0.53,-3.23
81,"rf","glmnet","CR","minCR4","cr3","ln",4.04,2.02,6.64,0.77,-1.81,2.11,3.9,11.73,2.73,-0.34,-11.22
81,"svm","glmnet","CR","minCR4","cr3","ln",2.55,0.74,5.95,0.85,0.22,1.74,2.91,6.88,1.94,0.12,-1.88
82,"gam","glmnet","none","minCR2","cr4","ln",2.61,1.09,5.22,0.79,-1.66,1.26,2.6,7.93,1.59,-0.52,-8.58
82,"glmnet","glmnet","none","minCR2","cr4","ln",3.59,1.78,7.2,0.75,-2.18,1.76,4,9.89,2.22,-1.18,-10.38
82,"rf","glmnet","none","minCR2","cr4","ln",4.41,1.64,6.56,0.8,-1.6,1.51,3.85,8.34,2.23,-0.4,-9.44
82,"svm","glmnet","none","minCR2","cr4","ln",3.38,1.57,5.79,0.79,-1.66,1.33,3.38,8.14,2.1,-0.48,-9.35
83,"gam","glmnet","none","minCR3","cr4","ln",3.81,1.4,6.31,0.75,-0.83,1.51,3.47,9.33,1.6,0.46,-6.94
83,"glmnet","glmnet","none","minCR3","cr4","ln",3.26,1.47,6.48,0.78,-1.02,1.02,3.66,8.1,1.76,-0.31,-6.39
83,"rf","glmnet","none","minCR3","cr4","ln",4.2,1.71,6.06,0.81,-1.3,1.57,3.89,6.97,2.22,-0.23,-8.44
83,"svm","glmnet","none","minCR3","cr4","ln",3.31,1.29,5.25,0.82,-0.65,1.61,3.75,4.12,2.47,-0.27,-5.72
84,"gam","glmnet","none","minCR4","cr4","ln",2.47,1.18,5.92,0.84,-0.32,1.45,2.26,6.37,1.91,0.49,-5.12
84,"glmnet","glmnet","none","minCR4","cr4","ln",3.72,1.26,6.93,0.82,-0.5,2.04,3.27,7.2,2.18,-0.07,-5.12
84,"rf","glmnet","none","minCR4","cr4","ln",4.22,1.8,6.58,0.81,-1.42,2.13,3.67,9.83,2.86,-0.15,-10.02
84,"svm","glmnet","none","minCR4","cr4","ln",3.3,1.1,5.34,0.87,-0.08,1.09,2.93,5.11,1.94,1.04,-5.29
85,"gam","glmnet","ci.wt","minCR2","cr4","ln",3.08,1.24,5.74,0.8,-1.52,1.29,2.9,7.93,1.62,-0.35,-8.36
85,"glmnet","glmnet","ci.wt","minCR2","cr4","ln",3.38,1.65,6.99,0.78,-2.07,1.55,4.17,9.34,2.02,-1.14,-9.68
85,"rf","glmnet","ci.wt","minCR2","cr4","ln",4.27,1.71,6.38,0.8,-1.58,1.51,3.75,8.36,2.22,-0.41,-9.31
85,"svm","glmnet","ci.wt","minCR2","cr4","ln",3.24,1.38,6.19,0.8,-1.73,1.19,3.24,8.87,1.87,-0.42,-9.5
86,"gam","glmnet","ci.wt","minCR3","cr4","ln",3.88,1.4,6.43,0.75,-0.83,1.48,2.95,8.32,1.61,0.46,-6.99
86,"glmnet","glmnet","ci.wt","minCR3","cr4","ln",3.21,1.44,6.46,0.78,-1.16,1.05,3.9,7.92,1.79,-0.48,-6.67
86,"rf","glmnet","ci.wt","minCR3","cr4","ln",4.12,1.65,6.3,0.81,-1.36,1.62,3.77,7.4,2.18,-0.27,-8.55
86,"svm","glmnet","ci.wt","minCR3","cr4","ln",2.98,1.03,5.8,0.82,-0.79,1,3.24,5.61,1.92,0.26,-6.79
87,"gam","glmnet","ci.wt","minCR4","cr4","ln",2.53,1.2,6.11,0.84,-0.25,1.33,2.43,6.55,1.92,0.62,-5.09
87,"glmnet","glmnet","ci.wt","minCR4","cr4","ln",3.78,1.12,7.12,0.82,-0.66,1.99,3.23,7.44,2.15,-0.21,-5.49
87,"rf","glmnet","ci.wt","minCR4","cr4","ln",4.35,1.77,6.72,0.8,-1.58,2.22,3.58,10.41,2.79,-0.25,-10.43
87,"svm","glmnet","ci.wt","minCR4","cr4","ln",2.72,1.17,5.09,0.88,0.01,1.14,2.62,4.62,2.21,0.65,-4.38
88,"gam","glmnet","CR","minCR2","cr4","ln",3.44,1.44,5.95,0.76,-1.25,1.54,2.85,7.74,1.98,0.05,-8.5
88,"glmnet","glmnet","CR","minCR2","cr4","ln",3.18,1.29,6.78,0.77,-1.66,1.26,3.96,7.92,1.75,-0.53,-8.79
88,"rf","glmnet","CR","minCR2","cr4","ln",4.12,1.56,6.11,0.81,-1.55,1.19,3.97,8.52,2.25,-0.41,-9.21
88,"svm","glmnet","CR","minCR2","cr4","ln",3.86,1.14,6.92,0.79,-1.55,0.97,4.15,7.57,1.89,-0.21,-9.16
89,"gam","glmnet","CR","minCR3","cr4","ln",3.35,1.06,5.95,0.76,-1,1.39,3.65,7.24,1.67,0.32,-7.52
89,"glmnet","glmnet","CR","minCR3","cr4","ln",2.97,1.01,7.03,0.79,-1.03,0.94,3.78,7.08,1.56,-0.01,-6.77
89,"rf","glmnet","CR","minCR3","cr4","ln",3.78,1.71,6.33,0.82,-1.28,0.99,3.83,7.86,2.2,-0.14,-8.5
89,"svm","glmnet","CR","minCR3","cr4","ln",3.3,1.38,6.34,0.82,-0.53,1.29,3.78,5.99,2.1,0.33,-5.99
90,"gam","glmnet","CR","minCR4","cr4","ln",3.11,1.4,6.56,0.82,-0.12,1.73,2.49,6.14,2.31,0.17,-4.06
90,"glmnet","glmnet","CR","minCR4","cr4","ln",3.7,0.97,7.02,0.82,-0.72,1.77,3.3,8.18,2.02,-0.18,-5.65
90,"rf","glmnet","CR","minCR4","cr4","ln",3.98,1.73,6.12,0.81,-1.58,1.81,3.65,10.3,2.64,-0.27,-10.21
90,"svm","glmnet","CR","minCR4","cr4","ln",2.33,0.89,6.38,0.84,0.06,0.93,1.92,6.1,2.44,0.82,-4.83
91,"glmnet","Allsites","none","minCR2","crnone","ln",4.31,1.94,8.08,0.69,-2.45,1.99,4.31,13.1,3.3,-1.38,-12.64
91,"rf","Allsites","none","minCR2","crnone","ln",3.39,1.59,6.39,0.73,-2.17,1.91,3,12.42,3.08,-0.89,-12.14
91,"svm","Allsites","none","minCR2","crnone","ln",3.64,2.05,5.77,0.74,-2.46,2.26,3.3,12.18,3.17,-1.72,-11.77
92,"glmnet","Allsites","none","minCR3","crnone","ln",4.12,1.94,7.49,0.71,-1.57,2.27,4.54,8.63,2.95,-0.61,-9.82
92,"rf","Allsites","none","minCR3","crnone","ln",3.56,1.99,6.45,0.73,-1.99,2.11,3.02,11.55,3,-0.69,-11.62
92,"svm","Allsites","none","minCR3","crnone","ln",3.18,1.81,7.53,0.71,-1.44,2.11,2.52,10.42,3.23,-0.35,-10.2
93,"glmnet","Allsites","none","minCR4","crnone","ln",4.31,2.31,7.98,0.6,-1.5,3.38,3.74,12.12,3.87,-0.2,-11.67
93,"rf","Allsites","none","minCR4","crnone","ln",3.77,1.86,6.81,0.73,-2.01,2.28,3.45,12.41,3.57,-0.73,-12.4
93,"svm","Allsites","none","minCR4","crnone","ln",2.91,1.81,6.21,0.76,-1.06,2.52,2.71,7.95,3.19,-0.38,-8.33
94,"glmnet","Allsites","ci.wt","minCR2","crnone","ln",3.5,1.68,7.97,0.66,-2.55,2.58,4.08,12.57,2.74,-1.15,-12.81
94,"rf","Allsites","ci.wt","minCR2","crnone","ln",3.42,1.72,6.54,0.73,-2.23,2.16,3.09,12.21,2.93,-0.89,-12.2
94,"svm","Allsites","ci.wt","minCR2","crnone","ln",4.23,1.88,5.6,0.72,-2.35,2.23,3.58,11.64,3.06,-1.53,-11.51
95,"glmnet","Allsites","ci.wt","minCR3","crnone","ln",4.47,1.9,7.88,0.64,-1.47,2.28,4.54,9.57,3.18,-0.19,-10.6
95,"rf","Allsites","ci.wt","minCR3","crnone","ln",3.56,2.08,6.87,0.73,-2.09,2.14,3.07,11.53,2.9,-0.76,-11.79
95,"svm","Allsites","ci.wt","minCR3","crnone","ln",3.67,1.94,7.42,0.71,-1.99,2.11,3.57,10.17,3.11,-1.12,-10.84
96,"glmnet","Allsites","ci.wt","minCR4","crnone","ln",4.22,2.08,8.06,0.63,-1.73,3.26,3.99,11.85,4.17,-1.02,-11.32
96,"rf","Allsites","ci.wt","minCR4","crnone","ln",3.85,1.88,6.78,0.72,-2.07,2.4,3.49,12.49,3.49,-0.79,-12.45
96,"svm","Allsites","ci.wt","minCR4","crnone","ln",3.05,1.87,5.88,0.76,-1.08,2.61,2.7,8.65,3.1,-0.52,-8.01
97,"glmnet","Allsites","CR","minCR2","crnone","ln",4.01,1.71,8.08,0.69,-2.11,2.04,4.4,11.24,3.17,-0.92,-11.91
97,"rf","Allsites","CR","minCR2","crnone","ln",3.42,1.42,6.56,0.73,-2.25,2.15,3.2,12.39,2.96,-0.87,-12.35
97,"svm","Allsites","CR","minCR2","crnone","ln",4.23,1.88,5.6,0.72,-2.35,2.23,3.58,11.64,3.06,-1.53,-11.51
98,"glmnet","Allsites","CR","minCR3","crnone","ln",4.19,2.05,8.18,0.7,-1.5,2.25,4.29,10.03,3.33,-0.6,-10.03
98,"rf","Allsites","CR","minCR3","crnone","ln",3.61,1.86,6.62,0.72,-2.07,2.23,3.11,12.23,2.94,-0.73,-11.85
98,"svm","Allsites","CR","minCR3","crnone","ln",3.67,1.94,7.42,0.71,-1.99,2.11,3.57,10.17,3.11,-1.12,-10.84
99,"glmnet","Allsites","CR","minCR4","crnone","ln",4.58,1.76,7.81,0.65,-1.65,2.89,4.18,10.4,3.88,-0.71,-11.26
99,"rf","Allsites","CR","minCR4","crnone","ln",4.03,1.8,6.71,0.73,-2.12,2.47,3.4,12.13,3.47,-0.87,-12.49
99,"svm","Allsites","CR","minCR4","crnone","ln",3.64,1.95,5.35,0.74,-0.81,2.02,3.36,5.45,3.09,-0.23,-7.39
100,"gam","RFsites","none","minCR2","cr2","ln",3.35,1.72,6.34,0.64,-0.57,2.42,3.37,10.13,2.2,-0.71,-4.06
100,"glmnet","RFsites","none","minCR2","cr2","ln",3.9,1.79,6.52,0.75,-2.01,1.6,3.9,9.65,2.17,-1.14,-9.62
100,"rf","RFsites","none","minCR2","cr2","ln",3.7,1.33,6.15,0.76,-1.64,1.24,3.7,9.23,2.66,-0.55,-9.86
100,"svm","RFsites","none","minCR2","cr2","ln",3.81,2.27,5.41,0.82,-1.19,1.54,4,5.3,2.67,-0.88,-7.1
101,"gam","RFsites","none","minCR3","cr2","ln",4.91,2.67,8.22,0.58,-0.44,2.73,4.23,9.93,2.68,0.36,-6.45
101,"glmnet","RFsites","none","minCR3","cr2","ln",3.26,1.76,6.5,0.73,-1.08,1.94,3.68,9.65,2.23,-0.09,-7.74
101,"rf","RFsites","none","minCR3","cr2","ln",3.57,1.02,5.56,0.78,-1.38,1.29,3.57,7.72,2.62,-0.48,-8.79
101,"svm","RFsites","none","minCR3","cr2","ln",3.49,1.42,5.5,0.8,-0.61,2.96,3.58,6.35,3.08,-0.24,-6.47
102,"gam","RFsites","none","minCR4","cr2","ln",3.83,0.62,8.45,0.65,0.48,1.2,3.4,7.15,2.41,1.21,-3.74
102,"glmnet","RFsites","none","minCR4","cr2","ln",4.52,2.01,7.98,0.67,-0.12,2.64,4.52,8.59,2.58,1.18,-6.65
102,"rf","RFsites","none","minCR4","cr2","ln",3.84,1.39,6.87,0.72,-1.25,1.95,2.68,8.02,3.47,0.08,-10.59
102,"svm","RFsites","none","minCR4","cr2","ln",4,1.53,6.13,0.82,-0.88,1.95,4,7.75,2.33,0.37,-7.99
103,"gam","RFsites","ci.wt","minCR2","cr2","ln",3.17,1.81,6.85,0.66,-0.39,2.32,3,8.57,2.68,-0.1,-5.23
103,"glmnet","RFsites","ci.wt","minCR2","cr2","ln",2.91,1.56,7.47,0.74,-1.77,1.6,2.82,9.38,2.18,-0.82,-9.22
103,"rf","RFsites","ci.wt","minCR2","cr2","ln",3.74,1.17,6.1,0.76,-1.57,1.11,3.69,8.51,2.68,-0.45,-9.83
