"","model","method","swfsc.id","age.pred","age.best","resid","dev","sq.err","best.age.bin","pred.age.bin","age.pred.ran.mode","lower","upper","hdi.range","crc.id","biopsy.id","date.biopsy","sex","age.confidence","age.min","age.max","age.class","pair.id","confidence.wt","sex.num","sn.location","sn.scale","sn.shape","age.range","age.var","dens.unif","wtd.unif","sn.age.offset","Collection_Method"
"1",21,"svm","z0018943",18.9240419070199,10,8.92404190701991,8.92404190701991,79.6385239582476,10,10,20.1329552199858,14.4460951771164,24.8634632791559,10.4173681020395,"HIPc101","RWB001205",2000-12-08 22:00:00,"Female",3,7,17,"adult.f.sm",1,0.55,1,8.12381275115435,3.96010370627739,3.0619524465874,10,6.66091872322075,0.1,0.045,8.12381275116686,"BIOPSY (PROJECTILE)"
"2",21,"svm","z0018944",15.6486873913485,10,5.64868739134848,5.64868739134848,31.9076692451793,10,10,16.0194581366131,10.4099652765878,21.8414172022887,11.4314519257009,"HIPc102","RWB001206",2000-12-08 22:00:00,"Male",3,6,30,"adult.f.sm",2,0.55,2,6.71895093783217,10.3868210631706,6.63350813388368,24,40.7298171444852,0.0416666666666667,0.01875,6.71895090317685,"BIOPSY (PROJECTILE)"
"3",21,"svm","z0018945",29.7942488748267,22,7.79424887482671,7.79424887482671,60.7503155227375,10,25,32.1545060584188,26.9961112201205,37.5541838791237,10.5580726590032,"HIPc103","RWB001207",2000-12-08 22:00:00,"Female",3,18,42,"adult.f.sm",NA,0.55,1,18.7189723647251,10.3868115035779,6.6334220188365,24,40.7297809173453,0.0416666666666667,0.01875,18.7189262523888,"BIOPSY (PROJECTILE)"
"4",21,"svm","z0023316",4.85932852384788,6,-1.14067147615212,1.14067147615212,1.30113141650706,0,0,5.45899802189903,0,10.4657867584576,10.4657867584576,"HIPc210","RWB010203",2001-02-27 22:00:00,"Male",4,3,11,"sub.adult",10,0.75,2,4.44493421945126,2.92453749597642,2.03083719786222,8,4.1705378201466,0.125,0.03125,4.44493421944432,"BIOPSY (PROJECTILE)"
"5",21,"svm","z0023317",15.4883752480575,25,-9.51162475194247,9.51162475194247,90.4710054217647,25,10,15.6229885214201,9.6817635743071,22.3418727262202,12.6601091519131,"HIPc132","RWB010204",2001-02-27 22:00:00,"Male",3,20,45,"adult.pm",NA,0.55,2,21.1667923315696,10.6331661753114,5.35757783325591,25,43.5085387050694,0.04,0.018,21.1667923315708,"BIOPSY (PROJECTILE)"
"6",21,"svm","z0023318",10.8361623958209,11,-0.163837604179102,0.163837604179102,0.0268427605431482,10,10,13.6409669132154,7.53782892418867,20.0749001128115,12.5370711886228,"HIPc313","RWB010205",2001-02-27 22:00:00,"Female",4,8,16,"adult.f.sm",12,0.75,1,9.44510140865516,2.92409875861537,2.03033327947431,8,4.16971099541504,0.125,0.03125,9.44510140866529,"BIOPSY (PROJECTILE)"
"7",21,"svm","z0023319",26.8796839630408,26,0.879683963040819,0.879683963040819,0.7738438748312,25,25,28.3768860647897,23.5541872198254,34.7460354213882,11.1918482015629,"HIPc114","RWB010206",2001-02-27 22:00:00,"Male",4,21,41,"adult.pm",3,0.75,2,22.5228544727382,8.24356341666327,4.00012468223236,20,27.2386842086457,0.05,0.0125,22.5228544727349,"BIOPSY (PROJECTILE)"
"8",21,"svm","z0023321",6.35685929244615,11,-4.64314070755385,4.64314070755385,21.5587556301437,10,0,8.78094093330743,0,13.2953809282383,13.2953809282383,"HIPc208","RWB010208",2001-02-27 22:00:00,"Female",3,8,18,"adult.f.sm",NA,0.55,1,9.12380665396855,3.96010588227594,3.06196482537713,10,6.66091901298105,0.1,0.045,9.12381460218673,"BIOPSY (PROJECTILE)"
"9",21,"svm","z0027453",15.4387679752315,6,9.43876797523154,9.43876797523154,89.0903408902565,0,10,17.1403456439751,12.1976382012605,22.5520640046524,10.3544258033919,"HIPc155","RWB020501.05",2002-04-30 21:00:00,"Female",3,3,13,"sub.adult",NA,0.55,1,4.1238127511646,3.96010370626882,3.06195244654942,10,6.66091872321347,0.1,0.045,4.12381275116208,"BIOPSY (PROJECTILE)"
"10",21,"svm","z0027455",13.0196813886805,10,3.01968138868054,3.01968138868054,9.11847568914363,10,10,14.8737914484352,10.5895819308117,18.2629972924526,7.67341536164088,"HIPc193","RWB020501.07",2002-04-30 21:00:00,"Female",2,6,46,"adult.f.sm",NA,0.2,1,6.15090934931246,17.7786393136416,11.234991969142,40,116.438856854211,0.025,0.02,6.15090934932138,"BIOPSY (PROJECTILE)"
